"plant" "nectar_holder_depth_mm" "pollinator" "IT_mm"
"178" "Galactites_tomentosa" 10 "Hoplitis_sp" 2.89
"179" "Galactites_tomentosa" 10 "Anthidium_septemspinosum" 3.47
"180" "Galactites_tomentosa" 10 "Hoplitis??_sp" 2.45
"181" "Lavandula_stoechas" 4 "Halictus_pyrenaicus" 2.31
"182" "Lavandula_stoechas" 4 "Panurgus_sp" 1.58
"183" "Lavandula_stoechas" 4 "Megachile??_sp" 2.64
"184" "Lavandula_stoechas" 4 "Apis_mellifera" 2.67
"185" "Lavandula_stoechas" 4 "Halictus_pyrenaicus" 2.41
"186" "Lavandula_stoechas" 4 "Osmia_aurulenta" 2.39
"187" "Lavandula_stoechas" 4 "Chalicodoma_sp" 4
"188" "Lavandula_stoechas" 4 "Eucera_sp" 3.25
"189" "Lavandula_stoechas" 4 "Andrena_sp" 2.43
"190" "Lavandula_stoechas" 4 "Apis_mellifera" 2.82
"191" "Lavandula_stoechas" 4 "Osmia_sp" 2.67
"192" "Lavandula_stoechas" 4 "Osmia_aurulenta" 2.5
"193" "Lavandula_stoechas" 4 "Lasioglossum_sp" 1.64
"194" "Lavandula_stoechas" 4 "Andrena_sp" 1.75
"195" "Lavandula_stoechas" 4 "Anthophora_sp" 4.05
"196" "Lavandula_stoechas" 4 "Anthophora_plumipes" 3.27
"197" "Lavandula_stoechas" 4 "Anthidium_sticticum" 3.53
"198" "Lavandula_stoechas" 4 "Chalicodoma_sp" 4.56
"199" "Lavandula_stoechas" 4 "Anthidium_sticticum" 3.52
"200" "Lavandula_stoechas" 4 "Lasioglossum_sp" 1.75
"201" "Lavandula_stoechas" 4 "Halictus_pyrenaicus" 2.26
"202" "Lavandula_stoechas" 4 "Anthidium_septemspinosum" 3.8
"203" "Lavandula_stoechas" 4 "Anthidium_sticticum" 3.37
"204" "Lavandula_stoechas" 4 "Lasioglossum_sp" 1.48
"205" "Lavandula_stoechas" 4 "Chalicodoma_sp" 4.04
"206" "Lavandula_stoechas" 4 "Apis_mellifera" 2.84
"207" "Lavandula_stoechas" 4 "Anthophora_plumipes" 4.28
"208" "Lavandula_stoechas" 4 "Anthidium_sticticum" 3.59
"209" "Lavandula_stoechas" 4 "Anthophora_plumipes" 4.13
"210" "Lavandula_stoechas" 4 "Chalicodoma_sp" 4.24
"211" "Linum_sp" 2.12 "Hoplitis_sp" 2.69
"212" "Opuntia_stricta" 0 "Lasioglossum_sp" 1.39
"213" "Opuntia_stricta" 0 "Bombus_sp" 3.83
"214" "Opuntia_stricta" 0 "Anthidium_septemspinosum" 3.27
"215" "Opuntia_stricta" 0 "Apis_mellifera" 2.68
"216" "Opuntia_stricta" 0 "Apis_mellifera" 2.56
"217" "Opuntia_stricta" 0 "Apis_mellifera" 2.71
"218" "Opuntia_stricta" 0 "Apis_mellifera" 2.53
"219" "Opuntia_stricta" 0 "Xylocopa_sp" 7.04
"220" "Opuntia_stricta" 0 "Lasioglossum_sp" 1.16
"221" "Opuntia_stricta" 0 "Xylocopa_sp" 6.92
"222" "Opuntia_stricta" 0 "Halictus_pyrenaicus" 2.12
"223" "Opuntia_stricta" 0 "Lasioglossum_sp" 1.12
"224" "Opuntia_stricta" 0 "Halictus_pyrenaicus" 1.92
"225" "Opuntia_stricta" 0 "Apis_mellifera" 2.83
"226" "Opuntia_stricta" 0 "Apis_mellifera" 1.55
"227" "Opuntia_stricta" 0 "Apis_mellifera" 2.61
"228" "Opuntia_stricta" 0 "Lasioglossum_sp" 1.49
"229" "Opuntia_stricta" 0 "Ceratina_cucurbitina" 1.3
"230" "Opuntia_stricta" 0 "Apis_mellifera" 2.69
"231" "Psoralea_bituminosa" 6.36 "Anthidium_septemspinosum" 3.45
"232" "Psoralea_bituminosa" 6.36 "Lasioglossum_sp" 1.13
"233" "Rosmarinus_officinalis" 5.21 "Colletes_sp" 2.07
"234" "Rosmarinus_officinalis" 5.21 "Anthophora_plumipes" 3.34
"235" "Rosmarinus_officinalis" 5.21 "Andrena_sp" 2.2
"236" "Rosmarinus_officinalis" 5.21 "Nomada_succincta" 1.91
"237" "Rosmarinus_officinalis" 5.21 "Lasioglossum_sp" 1.61
"238" "Rosmarinus_officinalis" 5.21 "Apis_mellifera" 2.75
"239" "Ruta_chalepensis" 0 "Lasioglossum_gemmeus" 1.14
"240" "Ruta_chalepensis" 0 "Lasioglossum_sp" 1.42
"241" "Ruta_chalepensis" 0 "Hylaeus_nigritus" 0.99
"242" "Ruta_chalepensis" 0 "Lasioglossum_sp" 1.32
"243" "Ruta_chalepensis" 0 "Halictus_sp" 1.2
"244" "Ruta_chalepensis" 0 "Hylaeus_nigritus" 0.81
"245" "Ruta_chalepensis" 0 "Lasioglossum_sp" 1.36
"246" "Ruta_chalepensis" 0 "Lasioglossum_sp" 1.15
"247" "Ruta_chalepensis" 0 "Lasioglossum_sp" 1.32
"248" "Scabiosa_stellata" 6 "Lasioglossum_sp" 1.3
"249" "Scabiosa_stellata" 6 "Halictus_sp" 2.26
"250" "Scabiosa_stellata" 6 "Ceratina_cucurbitina" 1.28
"251" "Scabiosa_stellata" 6 "Halictus_sp" 2.15
"252" "Sedum_sediforme" 0 "Colletes_sp" 1.92
"253" "Sedum_sediforme" 0 "Lasioglossum_sp" 1.41
"254" "Sedum_sediforme" 0 "Halictus_sp" 1.53
"255" "Sedum_sediforme" 0 "Lasioglossum_sp" 1.2
"256" "Sedum_sediforme" 0 "Lasioglossum_sp" 1.26
"257" "Sedum_sediforme" 0 "Halictus_sp" 1.28
"258" "Sedum_sediforme" 0 "Megachile_sp" 2.18
"259" "Sedum_sediforme" 0 "Colletes_sp" 2.55
"260" "Sedum_sediforme" 0 "Anthidium_sp" 3.3
"261" "Sedum_sediforme" 0 "Lasioglossum_sp" 1.29
"262" "Sedum_sediforme" 0 "Halictus_sp" 1.33
"263" "Sedum_sediforme" 0 "Lasioglossum_sp" 1.25
"264" "Sedum_sediforme" 0 "Lasioglossum_sp" 1.25
"265" "Sedum_sediforme" 0 "Lasioglossum_sp" 1.02
"266" "Sedum_sediforme" 0 "Halictus_pyrenaicus" 1.83
"267" "Sedum_sediforme" 0 "Lasioglossum_sp" 1.31
"268" "Sedum_sediforme" 0 "Lasioglossum_sp" 1.34
"269" "Sedum_sediforme" 0 "Lasioglossum_sp" 1.34
"270" "Sedum_sediforme" 0 "Lasioglossum_sp" 1.34
"271" "Sedum_sediforme" 0 "Halictus_sp" 1.34
"272" "Sedum_sediforme" 0 "Halictus_sp" 1.88
"273" "Sedum_sediforme" 0 "Lasioglossum_sp" 1.41
"274" "Sedum_sediforme" 0 "Lasioglossum_sp" 1.46
"275" "Sedum_sediforme" 0 "Lasioglossum_smaragdulus??" 1.39
"276" "Sedum_sediforme" 0 "Lasioglossum_smaragdulus??" 1.24
